invoice_id,flagged,error_category,expected_total_cents,billed_total_cents,confidence,coverage,review_required,duplicate_record_count,canonical_invoice_row_no,source_context_complete
INV-H5-000294,1,wrong_unit_basis,928839,928839,0.534,0.5,True,1,294,True
INV-H5-000375,1,wrong_unit_basis|unit_price_mismatch|duplicate_invoice_id,2733839,2696113,0.557,0.909,True,2,650,True
INV-H5-000001,1,line_total_arithmetic|service_date_after_invoice_date|duplicate_invoice_id|cross_invoice_duplicate,1765346,1790346,0.562,0.923,True,2,232,True
INV-H5-000076,1,unit_price_mismatch|duplicate_invoice_id,3063183,3061300,0.564,0.929,True,2,104,True
INV-H5-000784,0,,471266,471266,0.569,0.6,True,1,784,True
INV-H5-000260,1,unit_price_mismatch|duplicate_invoice_id|contract_number_mismatch,4022850,3972024,0.57,0.944,True,2,908,True
INV-H5-000113,1,volume_discount_incorrectly_applied,1404298,1374270,0.592,0.667,True,1,113,True
INV-H5-000141,1,unit_price_mismatch,2532263,2430635,0.592,0.667,True,1,141,True
INV-H5-000750,1,unit_price_mismatch,941792,916379,0.592,0.667,True,1,750,True
INV-H5-000267,0,,1369334,1369334,0.609,0.714,True,1,267,True
INV-H5-000340,0,,934866,934866,0.609,0.714,True,1,340,True
INV-H5-000034,1,malformed_service_date|exclusion_window_violation|cross_invoice_duplicate,1586458,1586458,0.614,0.727,True,1,34,True
INV-H5-000337,0,,2988373,2988373,0.614,0.727,True,1,337,True
INV-H5-000046,1,wrong_unit_basis,2819235,2819235,0.622,0.75,True,1,46,True
INV-H5-000051,0,,1013625,1013625,0.622,0.75,True,1,51,True
INV-H5-000395,0,,3365482,3365482,0.622,0.75,True,1,395,True
INV-H5-000449,0,,945432,945432,0.622,0.75,True,1,449,True
INV-H5-000654,0,,3017547,3017547,0.622,0.75,True,1,654,True
INV-H5-001048,0,,2854497,2854497,0.622,0.75,True,1,1048,True
INV-H5-000532,0,,1643101,1643101,0.628,0.769,True,1,532,True
INV-H5-000497,0,,2455916,2455916,0.631,0.778,True,1,497,True
INV-H5-000858,0,,1688007,1688007,0.631,0.778,True,1,858,True
INV-H5-000866,0,,2379332,2379332,0.631,0.778,True,1,866,True
INV-H5-000984,0,,1751224,1751224,0.634,0.786,True,1,984,True
INV-H5-001035,0,,3506503,3506503,0.634,0.786,True,1,1035,True
INV-H5-001049,1,unit_price_mismatch,2673245,2597006,0.634,0.786,True,1,1049,True
INV-H5-000031,1,unit_price_mismatch,2900159,2851887,0.639,0.8,True,1,31,True
INV-H5-000061,0,,1191268,1191268,0.639,0.8,True,1,61,True
INV-H5-000079,0,,5567277,5567277,0.639,0.8,True,1,79,True
INV-H5-000084,0,,2763677,2763677,0.639,0.8,True,1,84,True
INV-H5-000168,0,,492371,492371,0.639,0.8,True,1,168,True
INV-H5-000244,0,,2297415,2297415,0.639,0.8,True,1,244,True
INV-H5-000383,0,,2147363,2147363,0.639,0.8,True,1,383,True
INV-H5-000410,1,unit_price_mismatch,1262062,1187959,0.639,0.8,True,1,410,True
INV-H5-000499,0,,598841,598841,0.639,0.8,True,1,499,True
INV-H5-000543,1,wrong_unit_basis,1342323,1342323,0.639,0.8,True,1,543,True
INV-H5-000565,1,unit_price_mismatch,2225625,2172269,0.639,0.8,True,1,565,True
INV-H5-000579,0,,999372,999372,0.639,0.8,True,1,579,True
INV-H5-000615,1,unit_price_mismatch,1674751,1726957,0.639,0.8,True,1,615,True
