invoice_id,flagged,error_category,expected_total_cents,billed_total_cents,confidence,coverage,review_required,duplicate_record_count,canonical_invoice_row_no,source_context_complete
INV-H4-000073,1,duplicate_invoice_id,1732300,1732300,0.471,0.75,True,2,517,True
INV-H4-000048,1,unit_price_mismatch,1051625,1024025,0.503,0.5,True,1,48,True
INV-H4-000602,0,,2142825,2142825,0.503,0.5,True,1,602,True
INV-H4-000431,1,duplicate_invoice_id|exclusion_window_violation,1837700,1837700,0.514,0.875,True,2,839,True
INV-H4-000607,1,duplicate_invoice_id,1108400,1108400,0.514,0.875,True,2,787,True
INV-H4-000200,0,,2877375,2877375,0.538,0.6,True,1,200,True
INV-H4-000500,0,,1513950,1513950,0.538,0.6,True,1,500,True
INV-H4-000264,1,unit_price_mismatch|premium_incorrectly_applied|duplicate_invoice_id|cross_invoice_duplicate,4688550,4696974,0.539,0.944,True,2,418,True
INV-H4-000600,0,,3565575,3565575,0.561,0.667,True,1,600,True
INV-H4-000476,1,unit_price_mismatch,3398390,3369415,0.573,0.7,True,1,476,True
INV-H4-000153,1,unknown_service|malformed_service_date,3656250,3656250,0.575,0.706,True,1,153,True
INV-H4-000724,1,bundle_not_applied|service_date_out_of_window,3027440,3060765,0.575,0.706,True,1,724,True
INV-H4-000051,0,,4283425,4283425,0.578,0.714,True,1,51,True
INV-H4-000493,0,,518750,518750,0.578,0.714,True,1,493,True
INV-H4-000549,0,,1314045,1314045,0.578,0.714,True,1,549,True
INV-H4-000218,0,,2091390,2091390,0.583,0.727,True,1,218,True
INV-H4-000827,0,,5327380,5327380,0.586,0.737,True,1,827,True
INV-H4-000032,0,,433650,433650,0.591,0.75,True,1,32,True
INV-H4-000053,1,wrong_unit_basis,3818450,3818450,0.591,0.75,True,1,53,True
INV-H4-000177,1,unit_price_mismatch,3071875,3061075,0.591,0.75,True,1,177,True
INV-H4-000272,0,,1856562,1856562,0.591,0.75,True,1,272,True
INV-H4-000302,1,unit_price_mismatch,1483438,1454463,0.591,0.75,True,1,302,True
INV-H4-000306,0,,2618850,2618850,0.591,0.75,True,1,306,True
INV-H4-000473,1,wrong_unit_basis|exclusion_window_violation|cross_invoice_duplicate,2150500,2150500,0.591,0.75,True,1,473,True
INV-H4-000635,0,,2084625,2084625,0.591,0.75,True,1,635,True
INV-H4-000747,0,,805650,805650,0.591,0.75,True,1,747,True
INV-H4-000761,0,,3057850,3057850,0.591,0.75,True,1,761,True
INV-H4-000783,0,,1637150,1637150,0.591,0.75,True,1,783,True
INV-H4-000806,1,unknown_service,1996500,1996500,0.591,0.75,True,1,806,True
INV-H4-000829,0,,1610375,1610375,0.591,0.75,True,1,829,True
INV-H4-000590,1,unit_price_mismatch,3612425,3595040,0.596,0.765,True,1,590,True
INV-H4-000698,1,unit_price_mismatch,2580155,2551180,0.596,0.765,True,1,698,True
INV-H4-000727,1,unit_price_mismatch,3563410,3550960,0.596,0.765,True,1,727,True
INV-H4-000729,1,unit_price_mismatch,3590245,3571570,0.596,0.765,True,1,729,True
INV-H4-000786,0,,3089870,3089870,0.596,0.765,True,1,786,True
INV-H4-000510,0,,2136925,2136925,0.597,0.769,True,1,510,True
INV-H4-000760,1,unit_price_mismatch,2103000,2061425,0.597,0.769,True,1,760,True
INV-H4-000837,1,unit_price_mismatch,1510725,1498275,0.597,0.769,True,1,837,True
